"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"User","Spoofing","Created by Rules Engine","Attackers attempt to access sensitive information","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1087 - Account Discovery||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1566 - Phishing","Spoofing"
"QR Code (Device Identifier)","Tampering","Created by Rules Engine","Attackers can alter or tamper with URLs to deceive users or exploit vulnerabilities in web applications","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1056 - Input Capture||ATT&CK Enterprise - T1222 - File and Directory Permissions Modification||ATT&CK Enterprise - T1202 - Indirect Command Execution||ATT&CK Enterprise - T1557 - Adversary-in-the-Middle||ATT&CK Mobile - T1516 - Input Injection","Tampering"
"QR Code (Device Identifier)","Tampering","Created by Rules Engine","Attackers can create QR codes to deceive users by displaying false or misleading information","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - TA0009 - Collection||ATT&CK Enterprise - TA0006 - Credential Access||ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - T1020 - Automated Exfiltration||ATT&CK Enterprise - TA0002 - Execution||ATT&CK Enterprise - TA0005 - Defense Evasion","Tampering"
"QR Code (Device Identifier)","Tampering","Created by Rules Engine","Attackers can exploit vulnerabilities in QR code scanning software or deceive users into taking unintended actions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - T1020 - Automated Exfiltration||ATT&CK Enterprise - TA0002 - Execution","Tampering"
"User","Elevation of Privilege","Created by Rules Engine","Attackers exploit vulnerable dependencies to execute malicious activities","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - TA0005 - Defense Evasion","Elevation of Privilege"
"User Authentication Service","Elevation of Privilege","Created by Rules Engine","Attackers gain elevated privilege","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1021.001 - Remote Desktop Protocol||ATT&CK Enterprise - T1021.002 - SMB/Windows Admin Shares||ATT&CK Enterprise - T1021.004 - SSH||ATT&CK Enterprise - T1021.006 - Windows Remote Management||ATT&CK Enterprise - T1048 - Exfiltration Over Alternative Protocol||ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1199 - Trusted Relationship||ATT&CK Enterprise - T1485 - Data Destruction||ATT&CK Enterprise - T1567 - Exfiltration Over Web Service||ATT&CK Enterprise - T1567.002 - Exfiltration to Cloud Storage","Elevation of Privilege||Information Disclosure||Tampering"
"User","Elevation of Privilege","Created by Rules Engine","Attackers gain unauthorized access to the app's functions or data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1056 - Input Capture||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application","Elevation of Privilege"
"User Authentication Service","Information Disclosure","Created by Rules Engine","Attackers obtain unauthorized access","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1110 - Brute Force||ATT&CK Enterprise - T1110.001 - Password Guessing||ATT&CK Enterprise - T1110.003 - Password Spraying||ATT&CK Enterprise - T1110.004 - Credential Stuffing||ATT&CK Enterprise - T1539 - Steal Web Session Cookie||ATT&CK Enterprise - T1550.001 - Application Access Token||ATT&CK Enterprise - T1550.002 - Pass the Hash||ATT&CK Enterprise - T1550.003 - Pass the Ticket","Information Disclosure||Spoofing||Tampering"
"User Authentication Service","Information Disclosure","Created by Rules Engine","Attackers take advantage of poor protected data and insecure communications","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1029 - Scheduled Transfer||ATT&CK Enterprise - T1070 - Indicator Removal||ATT&CK Enterprise - T1486 - Data Encrypted for Impact||ATT&CK Enterprise - T1546 - Event Triggered Execution||ATT&CK Enterprise - T1556 - Modify Authentication Process||ATT&CK Enterprise - T1560 - Archive Collected Data||ATT&CK Enterprise - T1564 - Hide Artifacts||ATT&CK Mobile - T1532 - Archive Collected Data","Information Disclosure||Tampering"
"User Authentication Service","Elevation of Privilege","Created by Rules Engine","Attackers use improper security configuration for malicious activities","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1021 - Remote Services||ATT&CK Enterprise - T1046 - Network Service Discovery||ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1199 - Trusted Relationship||ATT&CK Enterprise - T1505.003 - Web Shell||ATT&CK Enterprise - T1548.001 - Setuid and Setgid||ATT&CK Enterprise - T1548.002 - Bypass User Account Control||ATT&CK Enterprise - T1552 - Unsecured Credentials||ATT&CK Enterprise - T1562.001 - Disable or Modify Tools","Elevation of Privilege||Tampering"
